timeStamp,detectorID,averageSpeed,100VehiclesPerHour,dayOfWeek,onerHourBefore100VehiclesPerHour
10:32:00 AM,89,67,9,Mon,14
10:34:00 AM,89,75,5,Mon,9
10:36:00 AM,89,76,10,Mon,12
10:38:00 AM,89,83,7,Mon,7
10:40:00 AM,89,83,10,Mon,12
10:42:00 AM,89,65,12,Mon,3
10:44:00 AM,89,68,10,Mon,1
10:46:00 AM,89,63,23,Mon,9
10:48:00 AM,89,66,9,Mon,5
10:50:00 AM,89,68,5,Mon,12
10:52:00 AM,89,70,25,Mon,9
10:54:00 AM,89,66,18,Mon,12
10:56:00 AM,89,68,9,Mon,9
10:58:00 AM,89,72,5,Mon,7
11:00:00 AM,89,74,10,Mon,9
11:02:00 AM,89,68,9,Mon,16
11:04:00 AM,89,82,1,Mon,18
11:06:00 AM,89,70,7,Mon,7
11:08:00 AM,89,68,9,Mon,7
11:10:00 AM,89,69,10,Mon,9
11:12:00 AM,89,60,19,Mon,16
11:14:00 AM,89,74,12,Mon,12
11:16:00 AM,89,70,9,Mon,3
11:18:00 AM,89,68,9,Mon,10
11:20:00 AM,89,62,12,Mon,10
11:22:00 AM,89,64,3,Mon,10
11:24:00 AM,89,67,18,Mon,7
11:26:00 AM,89,78,5,Mon,9
11:28:00 AM,89,63,9,Mon,7
11:30:00 AM,89,67,19,Mon,5
11:32:00 AM,89,68,7,Mon,9
11:34:00 AM,89,0,0,Mon,5
11:36:00 AM,89,74,3,Mon,10
11:38:00 AM,89,64,7,Mon,7
11:40:00 AM,89,65,9,Mon,10
11:42:00 AM,89,71,3,Mon,12
11:44:00 AM,89,75,10,Mon,10
11:46:00 AM,89,72,10,Mon,23
11:48:00 AM,89,63,12,Mon,9
11:50:00 AM,89,68,23,Mon,5
11:52:00 AM,89,67,18,Mon,25
11:54:00 AM,89,67,12,Mon,18
11:56:00 AM,89,63,18,Mon,9
11:58:00 AM,89,64,7,Mon,5
12:00:00 PM,89,74,10,Mon,10
12:02:00 PM,89,76,12,Mon,9
12:04:00 PM,89,73,7,Mon,1
12:06:00 PM,89,74,7,Mon,7
12:08:00 PM,89,79,9,Mon,9
12:10:00 PM,89,71,1,Mon,10
12:12:00 PM,89,62,10,Mon,19
12:14:00 PM,89,68,16,Mon,12
12:16:00 PM,89,71,5,Mon,9
12:18:00 PM,89,74,14,Mon,9
12:20:00 PM,89,60,5,Mon,12
12:22:00 PM,89,68,14,Mon,3
12:24:00 PM,89,66,9,Mon,18
12:26:00 PM,89,0,0,Mon,5
12:28:00 PM,89,65,5,Mon,9
12:30:00 PM,89,62,12,Mon,19
12:32:00 PM,89,65,9,Mon,7
12:34:00 PM,89,78,10,Mon,0
12:36:00 PM,89,72,10,Mon,3
12:38:00 PM,89,71,3,Mon,7
12:40:00 PM,89,74,10,Mon,9
12:42:00 PM,89,64,10,Mon,3
12:44:00 PM,89,80,14,Mon,10
12:46:00 PM,89,75,7,Mon,10
12:48:00 PM,89,77,10,Mon,12
12:50:00 PM,89,64,12,Mon,23
12:52:00 PM,89,71,10,Mon,18
12:54:00 PM,89,81,10,Mon,12
12:56:00 PM,89,0,0,Mon,18
12:58:00 PM,89,67,12,Mon,7
1:00:00 PM,89,66,9,Mon,10
1:02:00 PM,89,71,10,Mon,12
1:04:00 PM,89,79,9,Mon,7
1:06:00 PM,89,59,1,Mon,7
1:08:00 PM,89,63,3,Mon,9
1:10:00 PM,89,63,9,Mon,1
1:12:00 PM,89,68,3,Mon,10
1:14:00 PM,89,71,1,Mon,16
1:16:00 PM,89,67,1,Mon,5
1:18:00 PM,89,62,7,Mon,14
1:20:00 PM,89,62,1,Mon,5
1:22:00 PM,89,83,7,Mon,14
1:24:00 PM,89,67,1,Mon,9
1:26:00 PM,89,74,5,Mon,0
1:28:00 PM,89,68,5,Mon,5
1:30:00 PM,89,0,0,Mon,12
1:32:00 PM,89,75,3,Mon,9
1:34:00 PM,89,66,18,Mon,10
1:36:00 PM,89,71,1,Mon,10
1:38:00 PM,89,71,3,Mon,3
1:40:00 PM,89,68,3,Mon,10
1:42:00 PM,89,76,1,Mon,10
1:44:00 PM,89,70,9,Mon,14
1:46:00 PM,89,72,7,Mon,7
1:48:00 PM,89,0,0,Mon,10
1:50:00 PM,89,69,9,Mon,12
1:52:00 PM,89,82,5,Mon,10
1:54:00 PM,89,59,7,Mon,10
1:56:00 PM,89,60,3,Mon,0
1:58:00 PM,89,67,3,Mon,12
2:00:00 PM,89,67,7,Mon,9
2:02:00 PM,89,65,5,Mon,10
2:04:00 PM,89,83,5,Mon,9
2:06:00 PM,89,56,1,Mon,1
2:08:00 PM,89,0,0,Mon,3
2:10:00 PM,89,35,1,Mon,9
2:12:00 PM,89,68,3,Mon,3
2:14:00 PM,89,64,3,Mon,1
2:16:00 PM,89,73,10,Mon,1
2:18:00 PM,89,56,1,Mon,7
2:20:00 PM,89,82,1,Mon,1
2:22:00 PM,89,60,3,Mon,7
2:24:00 PM,89,74,5,Mon,1
2:26:00 PM,89,63,9,Mon,5
2:28:00 PM,89,70,7,Mon,5
2:30:00 PM,89,55,3,Mon,0
2:32:00 PM,89,0,0,Mon,3
2:34:00 PM,89,70,3,Mon,18
2:36:00 PM,89,63,7,Mon,1
2:38:00 PM,89,59,5,Mon,3
2:40:00 PM,89,59,1,Mon,3
2:42:00 PM,89,67,7,Mon,1
2:44:00 PM,89,82,1,Mon,9
2:46:00 PM,89,67,7,Mon,7
2:48:00 PM,89,59,1,Mon,0
2:50:00 PM,89,0,0,Mon,9
2:52:00 PM,89,67,1,Mon,5
2:54:00 PM,89,63,9,Mon,7
2:56:00 PM,89,65,10,Mon,3
2:58:00 PM,89,74,9,Mon,3
3:00:00 PM,89,82,1,Mon,7
3:02:00 PM,89,65,12,Mon,5
3:04:00 PM,89,66,3,Mon,5
3:06:00 PM,89,82,3,Mon,1
3:08:00 PM,89,66,5,Mon,0
3:10:00 PM,89,0,0,Mon,1
3:12:00 PM,89,72,5,Mon,3
3:14:00 PM,89,72,9,Mon,3
3:16:00 PM,89,65,14,Mon,10
3:18:00 PM,89,65,5,Mon,1
3:20:00 PM,89,62,9,Mon,1
3:22:00 PM,89,82,3,Mon,3
3:24:00 PM,89,59,3,Mon,5
3:26:00 PM,89,69,7,Mon,9
3:28:00 PM,89,63,5,Mon,7
3:30:00 PM,89,65,9,Mon,3
3:32:00 PM,89,79,5,Mon,0
3:34:00 PM,89,58,9,Mon,3
3:36:00 PM,89,62,5,Mon,7
3:38:00 PM,89,67,1,Mon,5
3:40:00 PM,89,66,10,Mon,1
3:42:00 PM,89,57,9,Mon,7
3:44:00 PM,89,68,5,Mon,1
3:46:00 PM,89,59,5,Mon,7
3:48:00 PM,89,62,1,Mon,1
3:50:00 PM,89,76,3,Mon,0
3:52:00 PM,89,60,5,Mon,1
3:54:00 PM,89,54,3,Mon,9
3:56:00 PM,89,51,1,Mon,10
3:58:00 PM,89,73,7,Mon,9
4:00:00 PM,89,50,10,Mon,1
4:02:00 PM,89,79,9,Mon,12
4:04:00 PM,89,63,10,Mon,3
4:06:00 PM,89,67,3,Mon,3
4:08:00 PM,89,62,9,Mon,5
4:10:00 PM,89,65,12,Mon,0
4:12:00 PM,89,106,1,Mon,5
4:14:00 PM,89,67,3,Mon,9
4:16:00 PM,89,67,7,Mon,14
4:18:00 PM,89,73,7,Mon,5
4:20:00 PM,89,63,3,Mon,9
4:22:00 PM,89,0,0,Mon,3
4:24:00 PM,89,0,0,Mon,3
4:26:00 PM,89,68,5,Mon,7
4:28:00 PM,89,61,7,Mon,5
4:30:00 PM,89,68,9,Mon,9
4:32:00 PM,89,74,9,Mon,5
4:34:00 PM,89,64,3,Mon,9
4:36:00 PM,89,68,9,Mon,5
4:38:00 PM,89,68,12,Mon,1
4:40:00 PM,89,60,7,Mon,10
4:42:00 PM,89,71,7,Mon,9
4:44:00 PM,89,78,3,Mon,5
4:46:00 PM,89,0,0,Mon,5
4:48:00 PM,89,67,5,Mon,1
4:50:00 PM,89,72,5,Mon,3
4:52:00 PM,89,69,10,Mon,5
4:54:00 PM,89,79,3,Mon,3
4:56:00 PM,89,72,9,Mon,1
4:58:00 PM,89,71,7,Mon,7
5:00:00 PM,89,67,9,Mon,10
5:02:00 PM,89,76,1,Mon,9
5:04:00 PM,89,61,10,Mon,10
5:06:00 PM,89,69,3,Mon,3
5:08:00 PM,89,63,9,Mon,9
5:10:00 PM,89,78,9,Mon,12
5:12:00 PM,89,70,5,Mon,1
5:14:00 PM,89,67,3,Mon,3
5:16:00 PM,89,66,7,Mon,7
5:18:00 PM,89,67,1,Mon,7
5:20:00 PM,89,71,5,Mon,3
5:22:00 PM,89,76,1,Mon,0
5:24:00 PM,89,71,1,Mon,0
5:26:00 PM,89,70,9,Mon,5
5:28:00 PM,89,67,7,Mon,7
5:30:00 PM,89,63,5,Mon,9
5:32:00 PM,89,73,10,Mon,9
5:34:00 PM,89,71,5,Mon,3
5:36:00 PM,89,63,7,Mon,9
5:38:00 PM,89,75,3,Mon,12
5:40:00 PM,89,73,10,Mon,7
5:42:00 PM,89,71,9,Mon,7
5:44:00 PM,89,73,7,Mon,3
5:46:00 PM,89,77,9,Mon,0
5:48:00 PM,89,72,5,Mon,5
5:50:00 PM,89,0,0,Mon,5
5:52:00 PM,89,69,5,Mon,10
5:54:00 PM,89,76,5,Mon,3
5:56:00 PM,89,71,10,Mon,9
5:58:00 PM,89,76,9,Mon,7
6:00:00 PM,89,68,7,Mon,9
6:02:00 PM,89,66,7,Mon,1
6:04:00 PM,89,78,10,Mon,10
6:06:00 PM,89,82,3,Mon,3
6:08:00 PM,89,89,1,Mon,9
6:10:00 PM,89,59,1,Mon,9
6:12:00 PM,89,73,12,Mon,5
6:14:00 PM,89,82,3,Mon,3
6:16:00 PM,89,66,14,Mon,7
6:18:00 PM,89,71,5,Mon,1
6:20:00 PM,89,65,14,Mon,5
6:22:00 PM,89,75,7,Mon,1
6:24:00 PM,89,60,3,Mon,1
6:26:00 PM,89,72,5,Mon,9
6:28:00 PM,89,80,5,Mon,7
6:30:00 PM,89,72,9,Mon,5
6:32:00 PM,89,67,1,Mon,10
6:34:00 PM,89,79,9,Mon,5
6:36:00 PM,89,68,3,Mon,7
6:38:00 PM,89,72,9,Mon,3
6:40:00 PM,89,81,10,Mon,10
6:42:00 PM,89,67,1,Mon,9
6:44:00 PM,89,56,1,Mon,7
6:46:00 PM,89,76,5,Mon,9
6:48:00 PM,89,67,10,Mon,5
6:50:00 PM,89,89,1,Mon,0
6:52:00 PM,89,63,5,Mon,5
6:54:00 PM,89,65,9,Mon,5
6:56:00 PM,89,76,1,Mon,10
6:58:00 PM,89,62,5,Mon,9
7:00:00 PM,89,74,3,Mon,7
7:02:00 PM,89,73,9,Mon,7
7:04:00 PM,89,74,7,Mon,10
7:06:00 PM,89,0,0,Mon,3
7:08:00 PM,89,71,5,Mon,1
7:10:00 PM,89,63,5,Mon,1
7:12:00 PM,89,59,3,Mon,12
7:14:00 PM,89,63,7,Mon,3
7:16:00 PM,89,75,7,Mon,14
7:18:00 PM,89,67,9,Mon,5
7:20:00 PM,89,67,9,Mon,14
7:22:00 PM,89,63,3,Mon,7
7:24:00 PM,89,67,1,Mon,3
7:26:00 PM,89,77,10,Mon,5
7:28:00 PM,89,76,7,Mon,5
7:30:00 PM,89,76,9,Mon,9
7:32:00 PM,89,76,1,Mon,1
7:34:00 PM,89,59,9,Mon,9
7:36:00 PM,89,71,7,Mon,3
7:38:00 PM,89,76,1,Mon,9
7:40:00 PM,89,70,12,Mon,10
7:42:00 PM,89,64,3,Mon,1
7:44:00 PM,89,0,0,Mon,1
7:46:00 PM,89,70,7,Mon,5
7:48:00 PM,89,67,1,Mon,10
7:50:00 PM,89,67,1,Mon,1
7:52:00 PM,89,62,10,Mon,5
7:54:00 PM,89,64,3,Mon,9
7:56:00 PM,89,68,3,Mon,1
7:58:00 PM,89,71,9,Mon,5
8:00:00 PM,89,67,1,Mon,3
8:02:00 PM,89,70,5,Mon,9
8:04:00 PM,89,70,7,Mon,7
8:06:00 PM,89,69,3,Mon,0
8:08:00 PM,89,74,10,Mon,5
8:10:00 PM,89,84,10,Mon,5
8:12:00 PM,89,87,5,Mon,3
8:14:00 PM,89,78,3,Mon,7
8:16:00 PM,89,82,1,Mon,7
8:18:00 PM,89,71,3,Mon,9
8:20:00 PM,89,58,7,Mon,9
8:22:00 PM,89,81,7,Mon,3
8:24:00 PM,89,68,5,Mon,1
8:26:00 PM,89,85,3,Mon,10
8:28:00 PM,89,72,14,Mon,7
8:30:00 PM,89,67,7,Mon,9
8:32:00 PM,89,65,7,Mon,1
8:34:00 PM,89,67,3,Mon,9
8:36:00 PM,89,70,5,Mon,7
8:38:00 PM,89,68,7,Mon,1
8:40:00 PM,89,71,3,Mon,12
8:42:00 PM,89,67,1,Mon,3
8:44:00 PM,89,72,14,Mon,0
8:46:00 PM,89,73,3,Mon,7
8:48:00 PM,89,68,5,Mon,1
8:50:00 PM,89,66,7,Mon,1
8:52:00 PM,89,67,5,Mon,10
8:54:00 PM,89,63,10,Mon,3
8:56:00 PM,89,63,9,Mon,3
8:58:00 PM,89,76,5,Mon,9
9:00:00 PM,89,79,5,Mon,1
9:02:00 PM,89,71,3,Mon,5
9:04:00 PM,89,62,9,Mon,7
9:06:00 PM,89,63,3,Mon,3
9:08:00 PM,89,68,14,Mon,10
9:10:00 PM,89,75,7,Mon,10
9:12:00 PM,89,67,7,Mon,5
